CHEBI:15440	squalene		
CHEBI:17029	chitin		
CHEBI:17089	glycoprotein		
CHEBI:18246	(1->4)-beta-D-glucan		
CHEBI:3311	calcium carbonate		
CHEBI:37395	mucopolysaccharide		
CHEBI:52255	hydroxylapatite		
CHEBI:59999	chemical substance		
CL:0000000	cell		
CL:0000008	migratory cranial neural crest cell		
CL:0000011	migratory trunk neural crest cell		
CL:0000019	sperm		
CL:0000020	spermatogonium		
CL:0000023	oocyte		
CL:0000025	egg cell		
CL:0000057	fibroblast		
CL:0000059	ameloblast	GO:0008150	biological_process
CL:0000060	odontoblast	GO:0008150	biological_process
CL:0000062	osteoblast		
CL:0000065	ependymal cell		
CL:0000066	epithelial cell		
CL:0000067	ciliated epithelial cell		
CL:0000071	blood vessel endothelial cell	GO:0003013	circulatory system process
CL:0000075	columnar/cuboidal epithelial cell		
CL:0000076	squamous epithelial cell		
CL:0000077	mesothelial cell		
CL:0000084	T cell	GO:0002376	immune system process
CL:0000098	sensory epithelial cell		
CL:0000100	motor neuron	GO:0050877	neurological system process
CL:0000101	sensory neuron	GO:0050877	neurological system process
CL:0000108	cholinergic neuron	GO:0050877	neurological system process
CL:0000115	endothelial cell		
CL:0000118	basket cell	GO:0050877	neurological system process
CL:0000119	Golgi cell	GO:0050877	neurological system process
CL:0000121	Purkinje cell	GO:0050877	neurological system process
CL:0000122	stellate cell	GO:0050877	neurological system process
CL:0000124	glial cell (sensu Nematoda and Protostomia)	GO:0050877	neurological system process
CL:0000125	glial cell	GO:0050877	neurological system process
CL:0000133	neurectodermal cell	GO:0032502	developmental process
CL:0000136	fat cell		
CL:0000138	chondrocyte		
CL:0000148	melanocyte		
CL:0000149	visual pigment cell		
CL:0000150	glandular epithelial cell		
CL:0000155	peptic cell	GO:0001696|GO:0007586	gastric acid secretion|digestion
CL:0000158	Clara cell	GO:0003016|GO:0007585	null|respiratory gaseous exchange
CL:0000162	parietal cell	GO:0001696|GO:0007586	gastric acid secretion|digestion
CL:0000164	enteroendocrine cell	GO:0060986|GO:0050886	endocrine hormone secretion|endocrine process
CL:0000165	neuroendocrine cell	GO:0060986|GO:0050886	endocrine hormone secretion|endocrine process
CL:0000166	chromaffin cell	GO:0060986|GO:0050886	endocrine hormone secretion|endocrine process
CL:0000168	insulin secreting cell	GO:0060986|GO:0050886	endocrine hormone secretion|endocrine process
CL:0000172	somatostatin secreting cell	GO:0060986|GO:0050886	endocrine hormone secretion|endocrine process
CL:0000178	Leydig cell	GO:0060986|GO:0000003|GO:0050886	endocrine hormone secretion|reproduction|endocrine process
CL:0000182	hepatocyte	GO:0022600|GO:0060986|GO:0007586|GO:0061007|GO:0050886	digestive system process|endocrine hormone secretion|digestion|null|endocrine process
CL:0000185	myoepithelial cell		
CL:0000187	muscle cell		
CL:0000188	skeletal muscle cell	GO:0006936	muscle contraction
CL:0000189	slow muscle cell	GO:0006936	muscle contraction
CL:0000190	fast muscle cell	GO:0006936	muscle contraction
CL:0000192	smooth muscle cell		
CL:0000202	auditory hair cell	GO:0050910	detection of mechanical stimulus involved in sensory perception of sound
CL:0000207	olfactory receptor cell	GO:0050877	neurological system process
CL:0000209	taste receptor cell	GO:0050877	neurological system process
CL:0000210	photoreceptor cell	GO:0050877	neurological system process
CL:0000214	synovial cell	GO:0008150	biological_process
CL:0000216	Sertoli cell	GO:0000003	reproduction
CL:0000221	ectodermal cell	GO:0032502	developmental process
CL:0000222	mesodermal cell	GO:0032502	developmental process
CL:0000223	endodermal cell	GO:0032502	developmental process
CL:0000228	multinucleate cell		
CL:0000232	erythrocyte		
CL:0000242	Merkel cell	GO:0050877	neurological system process
